Time,Site,Live/Recording,Activity,Studio,"Machine
Type","Machine
Name","Show
Duration",Outlet,"Test
Playlist",Description,Notes
10:30,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343687,2'15,Forces TV (BFBS),2,BFBS global 2'15,Collected by BFBS from Davina
10:30,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343690,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
10:30,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region E (Europe),
10:40,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343691,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
10:45,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343689,1'00,BBC 2,3,BBC News,Simulcast on BBC News
10:45,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region F (Middle East and Africa),
10:50,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343692,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
10:57,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,1'00,BBC 2,3,BBC News,Simulcast on BBC News
11:00,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343693,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:10,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343690,1'00,BBC 2,3,BBC News,Simulcast on BBC News
11:10,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343694,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:20,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343695,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:20,Nottingham,Recording,Loading for Edit,N/A,Edit,F1-D0N343668,Varies,BBC One Birmingham,0,Also clipped/delivered by presenter or gallery for website,
11:27,London - NBH,Live,Loading in Studio,J,Playout,F1-D0N343682,1'00,BBC 2,3,BBC News,Simulcast on BBC News
11:30,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343696,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:40,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343712,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:40,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343686,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
11:40,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343691,2'30,BBC News,3,BBC News,
11:43,Nottingham,Recording,Loading for Edit,N/A,Edit,F1-D0N343668,Varies,BBC One Manchester,0,Also clipped/delivered by presenter or gallery for website,
11:45,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343692,2'30,BBC News and website,3,UK 2'30,
11:45,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343693,2'30,BBC 1,3,News at One,Created early so that back-up gfx can be sent to gallery. Simulcast on BBC News
11:56,Plymouth,Recording,Loading for Edit,N/A,Edit,F1-D0N343674,Varies,BBC One Bristol,0,Also clipped/delivered by presenter or gallery for website,
11:57,London - NBH,Live,Loading in Studio,J,Playout,F1-D0N343682,2'30,BBC News,3,BBC News,
12:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343686,2'30,BBC One and BBC News,3,UK One back-up - graphics only,Back-up graphics for gallery use in case gallery cannot get Weatherscape into screen
12:00,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343687,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
12:09,Plymouth,Recording,Loading for Edit,N/A,Edit,F1-D0N343675,Varies,BBC One Southampton,0,Also clipped/delivered by presenter or gallery for website,
12:10,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343688,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
12:10,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343692,2'30,BBC News,3,BBC News,
12:10,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343693,1'00,BBC News,3,UK 1'00,
12:10,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,2'30,BBC News and website,3,UK 2'30,
12:15,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,2'30,BBC One and BBC News,3,UK One back-up - graphics only,Back-up graphics for gallery use in case gallery cannot get Weatherscape into screen
12:18,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,Varies,Facebook,3,London Facebook forecast,"Ad hoc, not every day"
12:20,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343689,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
12:20,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343686,1'00,BBC News,3,UK 1'00,
12:21,Nottingham,Recording,Loading in Studio,Nottingham,Playout,F1-D0N343675,Varies,BBC One Birmingham,0,Also clipped/delivered by presenter or gallery for website,
